# $Id: gal-survey-grid-coords.csv,v 1.1 2007/12/19 23:15:03 kilsdonk Exp $
# Galactic Survey grid.
# Prepared by P. Backus
# Freq 1720 MHz
# Grid Spacing arcmin degrees
# Long          7.77  0.129523
# Lat           2.62  0.043690
# dl/db         0.90  0.015
#
# GalLong(deg),GalLat(deg),RA(J2000-hours),Dec(J2000-deg)
#
1.509276,-0.131070,17.827972,-27.712450
1.638799,-0.131070,17.832979,-27.601316
1.768322,-0.131070,17.837976,-27.490142
1.897845,-0.131070,17.842963,-27.378928
2.027368,-0.131070,17.847940,-27.267675
2.156891,-0.131070,17.852907,-27.156383
2.286414,-0.131070,17.857864,-27.045052
2.415937,-0.131070,17.862811,-26.933682
2.545460,-0.131070,17.867749,-26.822274
2.674983,-0.131070,17.872677,-26.710828
2.804506,-0.131070,17.877595,-26.599344
2.934029,-0.131070,17.882504,-26.487822
3.063552,-0.131070,17.887403,-26.376263
3.193075,-0.131070,17.892293,-26.264667
3.322598,-0.131070,17.897174,-26.153033
3.452121,-0.131070,17.902045,-26.041364
3.581644,-0.131070,17.906907,-25.929658
3.711167,-0.131070,17.911760,-25.817916
3.840690,-0.131070,17.916604,-25.706138
3.970213,-0.131070,17.921439,-25.594324
4.099736,-0.131070,17.926264,-25.482475
4.229259,-0.131070,17.931081,-25.370591
4.358782,-0.131070,17.935889,-25.258672
4.488305,-0.131070,17.940688,-25.146718
4.617828,-0.131070,17.945479,-25.034730
4.747351,-0.131070,17.950260,-24.922708
4.876874,-0.131070,17.955034,-24.810652
5.006397,-0.131070,17.959798,-24.698563
-4.991397,0.174760,17.541727,-33.065598
-4.861874,0.174760,17.547347,-32.957066
-4.732351,0.174760,17.552953,-32.848476
-4.602828,0.174760,17.558545,-32.739829
-4.473305,0.174760,17.564123,-32.631127
-4.343782,0.174760,17.569688,-32.522368
-4.214259,0.174760,17.575239,-32.413554
-4.084736,0.174760,17.580777,-32.304685
-3.955213,0.174760,17.586302,-32.195762
-3.825690,0.174760,17.591813,-32.086784
-3.696167,0.174760,17.597311,-31.977751
-3.566644,0.174760,17.602796,-31.868665
-3.437121,0.174760,17.608268,-31.759526
-3.307598,0.174760,17.613727,-31.650334
-3.178075,0.174760,17.619173,-31.541089
-3.048552,0.174760,17.624606,-31.431792
-2.919029,0.174760,17.630027,-31.322443
-2.789506,0.174760,17.635435,-31.213042
-2.659983,0.174760,17.640830,-31.103591
-2.530460,0.174760,17.646213,-30.994088
-2.400937,0.174760,17.651583,-30.884534
-2.271414,0.174760,17.656942,-30.774931
-2.141891,0.174760,17.662287,-30.665277
-2.012368,0.174760,17.667621,-30.555574
-1.882845,0.174760,17.672943,-30.445821
-1.753322,0.174760,17.678252,-30.336020
-1.623799,0.174760,17.683550,-30.226170
-1.494276,0.174760,17.688836,-30.116272
-1.364753,0.174760,17.694110,-30.006325
-1.235230,0.174760,17.699372,-29.896331
-1.105707,0.174760,17.704622,-29.786290
-0.976184,0.174760,17.709861,-29.676202
-0.846661,0.174760,17.715089,-29.566066
-0.717138,0.174760,17.720305,-29.455885
-0.587615,0.174760,17.725509,-29.345657
-0.458092,0.174760,17.730702,-29.235384
-0.328569,0.174760,17.735885,-29.125065
-0.199046,0.174760,17.741055,-29.014701
-0.069523,0.174760,17.746215,-28.904292
0.060000,0.174760,17.751364,-28.793838
0.189523,0.174760,17.756502,-28.683340
0.319046,0.174760,17.761629,-28.572798
0.448569,0.174760,17.766745,-28.462212
0.578092,0.174760,17.771850,-28.351583
0.707615,0.174760,17.776945,-28.240910
0.837138,0.174760,17.782029,-28.130195
0.966661,0.174760,17.787102,-28.019437
1.096184,0.174760,17.792165,-27.908637
1.225707,0.174760,17.797218,-27.797795
1.355230,0.174760,17.802260,-27.686911
1.484753,0.174760,17.807292,-27.575986
1.614276,0.174760,17.812313,-27.465020
1.743799,0.174760,17.817325,-27.354012
1.873322,0.174760,17.822326,-27.242964
2.002845,0.174760,17.827318,-27.131876
2.132368,0.174760,17.832299,-27.020747
2.261891,0.174760,17.837271,-26.909579
