"Planet Name","St. Dist","St. Spec. Type","St. Right Asc.","St. Decli.","St. Mag. V.",
"HD 32518 b","117.4","K1III","05 09 37","+69 38 22","6.44",
"HD 330075 b","50.2","G5","15 49 37","-49 57 48","9.36",
"HD 33283 b","86","G3V","05 08 01","-26 47 50","8.05",
"HD 33564 b","20.98","F6 V","05 22 33","+79 13 52","5.08",
"HD 3651 b","11","K0 V","00 39 21","+21 15 01","5.8",
"HD 37124 b","33","G4 V","05 37 02","+20 43 50","7.68",
"HD 37124 c","33","G4 V","05 37 02","+20 43 50","7.68",
"HD 37124 d","33","G4 V","05 37 02","+20 43 50","7.68",
"HD 37605 b","42.9","K0V","05 40 01","+06 03 38","8.69",
"HD 38529 b","42.43","G4 IV","05 46 34","+01 10 05","5.94",
"HD 38529 c","42.43","G4 IV","05 46 34","+01 10 05","5.94",
"HD 39091 b","20.55","G1 IV","05 37 09","-80 28 08","5.67",
"HD 40307 b","12.8","K2.5V","05 54 04","-60 01 24","7.17",
"HD 40307 c","12.8","K2.5V","05 54 04","-60 01 24","7.17",
"HD 40307 d","12.8","K2.5V","05 54 04","-60 01 24","7.17",
"HD 40979 b","33.3","F8 V","06 04 29","+44 15 37","6.74",
"HD 41004 A b","42.5","K1 V","05 59 49","-48 14 22","8.65",
"HD 41004 B b","43.03","M2","05 59 50","-48 14 23","12.33",
"HD 4113 b","44","G5V","00 43 13","-37 58 57","7.88",
"HD 4203 b","77.5","G5","00 44 41","+20 26 56","8.68",
"HD 4208 b","33.9","G5 V","00 44 26","-26 30 56","7.79",
"HD 4308 b","21.9","G5 V","00 44 39","-65 38 58","6.54",
"HD 43197 b","54.9","K0","06 13 36","-29 53 50","8.95",
"HD 43691 b","93.2","G0IV","06 19 35","+41 05 32","8.03",
"HD 43848 b","37.05","G0V","06 16 31","-40 31 55","8.65",
"HD 44219 b","50.43","G5","06 20 14","-10 43 30","7.7",
"HD 45350 b","49","G5 IV","06 28 45","+38 57 46","7.88",
"HD 45364 b","32.6","K0V","06 25 38","-31 28 51","8.08",
"HD 45364 c","32.6","K0V","06 25 38","-31 28 51","8.08",
"HD 45652 b","36","G8-K0","06 29 13","+10 56 02","8.1",
"HD 46375 b","33.4","K1 IV","06 33 12","+05 27 46","7.94",
"HD 47186 b","37.84","G5V","06 36 09","-27 37 20","7.8",
"HD 47186 c","37.84","G5V","06 36 09","-27 37 20","7.8",
"HD 47536 b","121.36","K1 III","06 37 47","-32 20 23","5.25",
"HD 47536 c","121.36","K1 III","06 37 47","-32 20 23","5.25",
"HD 48265 b","87.4","G5V","06 40 02","-48 32 31","8.07",
"HD 49674 b","40.7","G5 V","06 51 30","+40 52 03","8.1",
"HD 50499 b","47.26","G IV","06 52 02","-33 54 56","7.22",
"HD 50554 b","31.03","F8","06 54 42","+24 14 44","6.86",
"HD 52265 b","28","G0 V","07 00 18","-05 22 01","6.3",
"HD 5319 b","100","G5IV","00 55 01","+00 47 22","8.05",
"HD 5388 b","53.3","F6V","00 55 11","-47 24 21","6.8",
"HD 59686 b","92","K2 III","07 31 48","+17 05 09","5.45",
"HD 60532 b","25.7","F6IV-V","07 34 03","-22 17 46","4.45",
"HD 60532 c","25.7","F6IV-V","07 34 03","-22 17 46","4.45",
"HD 62509 b","10.34"," K0IIIb","07 45 18","+28 01 34","1.15",
"HD 63454 b","35.8","K4 V","07 39 21","-78 16 44","9.37",
"HD 63765 b","32.6","G9V","07 47 50","-54 15 51","8.1",
"HD 6434 b","40.32","G3 IV","01 04 40","-39 29 17","7.72",
"HD 65216 b","34.3","G5 V","07 53 4","-63 38 50","7.98",
"HD 66428 b","55","G5","08 03 28","-01 09 45","8.25",
"HD 6718 b","55","G0","01 07 49","-08 14 01","8.48",
"HD 68988 b","58","G0","08 18 22","+61 27 38","8.21",
"HD 69830 b","12.6","K0V","08 18 23","-12 37 55","5.95",
"HD 69830 c","12.6","K0V","08 18 23","-12 37 55","5.95",
"HD 69830 d","12.6","K0V","08 18 23","-12 37 55","5.95",
"HD 70573 b","45.7","G1-1.5V","08 22 50","+01 51 34","8.7",
"HD 70642 b","29","G5 IV-V","08 21 28","-39 42 19","7.18",
"HD 72659 b","51.4","GO V","08 34 03","-01 34 05","7.48",
"HD 73256 b","36.5","G8/K0","08 36 23","-30 02 15","8.08",
"HD 73267 b","54.91","G5V","08 36 18","-34 27 36","8.9",
"HD 73526 b","99","G6 V","08 37 16","-41 19 08","9",
"HD 73526 c","99","G6 V","08 37 16","-41 19 08","9",
"HD 73534 b","96.99","G5IV","08 39 16","+12 57 37","8.24",
"HD 74156 b","64.56","G0","08 42 25","+04 34 41","7.62",
"HD 74156 c","64.56","G0","08 42 25","+04 34 41","7.62",
"HD 74156 d","64.56","G0","08 42 25","+04 34 41","7.62",
"HD 75289 b","28.94","G0 V","08 47 40","-41 44 12","6.35",
"HD 75898 b","80.58","G0","08 53 51","+33 03 25","8.04",
"HD 76700 b","59.7","G6 V","08 53 55","-66 48 03","8.13",
"HD 7924 b","16.8","KOV",,,"7.185",
"HD 80606 b","58.38","G5","09 22 37","+50 36 13","8.93",
"HD 81040 b","32.56","G2/G3","09 23 47","+20 21 52","7.72",
"HD 81688 b","88.26","K0III-IV","09 28 40","+45 36 05","5.41",
"HD 82943 b","27.46","G0","09 34 50","-12 07 46","6.54",
"HD 82943 c","27.46","G0","09 34 50","-12 07 46","6.54",
"HD 83443 b","43.54","K0 V","09 37 11","-43 16 19","8.23",
"HD 8535 b","56.3","G0V","01 23 37","-41 16 11","7.72",
"HD 85390 b","33.96","K1V","09 50 02","-49 47 25","8.55",
"HD 8574 b","44.15","F8","01 25 12","+28 34 00","7.12",
"HD 86081 b","91","F8V","09 56 06","-03 48 30","8.73",
"HD 86264 b","72.6","F7V","09 56 58","-15 53 42","7.42",
"HD 87883 b","18.1","K0V","10 08 43","+34 14 32","7.57",
"HD 88133 b","74.5","G5 IV","10 10 07","+18 11 12","8.01",
"HD 89307 b","30.9","G0V","10 18 21","+12 37 15","7.06",
"HD 89744 b","40","F7 V","10 22 10","+41 13 46","5.74",
"HD 90156 b","39.6","G5V","10 23 55","-29 38 44","6.95",
"HD 92788 b","32.82","G5","10 42 48","-02 11 01","7.31",
"HD 93083 b","28.9","K3 V","10 44 20","-33 34 37","8.3",
"HD 9446 b","53","G5V","01 33 20","+29 15 55","8.35",
"HD 9446 c","53","G5V","01 33 20","+29 15 55","8.35",
"HD 9578 b","57.24","G1V","01 33 17","-38 14 42","8.21",
"HD 96167 b","84","G5D","11 05 15","-10 17 29","8.09",
